id,food_group_id,name,calories,carbs,protein,fat,fibre
1001,1,"Butter, salted",717,0.06,0.85,81.11,0
1002,1,"Butter, whipped, with salt",718,2.87,0.49,78.3,0
1003,1,"Butter oil, anhydrous",876,0,0.28,99.48,0
1004,1,"Cheese, blue",353,2.34,21.4,28.74,0
1005,1,"Cheese, brick",371,2.79,23.24,29.68,0
1006,1,"Cheese, brie",334,0.45,20.75,27.68,0
1007,1,"Cheese, camembert",300,0.46,19.8,24.26,0
1008,1,"Cheese, caraway",376,3.06,25.18,29.2,0
1009,1,"Cheese, cheddar",404,3.09,22.87,33.31,0
1010,1,"Cheese, cheshire",387,4.78,23.37,30.6,0
1011,1,"Cheese, colby",394,2.57,23.76,32.11,0
1012,1,"Cheese, cottage, creamed, large or small curd",98,3.38,11.12,4.3,0
1013,1,"Cheese, cottage, creamed, with fruit",97,4.61,10.69,3.85,0.2
1014,1,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",72,6.66,10.34,0.29,0
1015,1,"Cheese, cottage, lowfat, 2% milkfat",81,4.76,10.45,2.27,0
1016,1,"Cheese, cottage, lowfat, 1% milkfat",72,2.72,12.39,1.02,0
1017,1,"Cheese, cream",350,5.52,6.15,34.44,0
1018,1,"Cheese, edam",357,1.43,24.99,27.8,0
1019,1,"Cheese, feta",264,4.09,14.21,21.28,0
1020,1,"Cheese, fontina",389,1.55,25.6,31.14,0
1021,1,"Cheese, gjetost",466,42.65,9.65,29.51,0
1022,1,"Cheese, gouda",356,2.22,24.94,27.44,0
1023,1,"Cheese, gruyere",413,0.36,29.81,32.34,0
1024,1,"Cheese, limburger",327,0.49,20.05,27.25,0
1025,1,"Cheese, monterey",373,0.68,24.48,30.28,0
1026,1,"Cheese, mozzarella, whole milk",300,2.19,22.17,22.35,0
1027,1,"Cheese, mozzarella, whole milk, low moisture",318,2.47,21.6,24.64,0
1028,1,"Cheese, mozzarella, part skim milk",254,2.77,24.26,15.92,0
1029,1,"Cheese, mozzarella, low moisture, part-skim",295,5.58,23.75,19.78,0
1030,1,"Cheese, muenster",368,1.12,23.41,30.04,0
1031,1,"Cheese, neufchatel",253,3.59,9.15,22.78,0
1032,1,"Cheese, parmesan, grated",420,13.91,28.42,27.84,0
1033,1,"Cheese, parmesan, hard",392,3.22,35.75,25.83,0
1034,1,"Cheese, port de salut",352,0.57,23.78,28.2,0
1035,1,"Cheese, provolone",351,2.14,25.58,26.62,0
1036,1,"Cheese, ricotta, whole milk",174,3.04,11.26,12.98,0
1037,1,"Cheese, ricotta, part skim milk",138,5.14,11.39,7.91,0
1038,1,"Cheese, romano",387,3.63,31.8,26.94,0
1039,1,"Cheese, roquefort",369,2,21.54,30.64,0
1040,1,"Cheese, swiss",393,1.44,26.96,30.99,0
1041,1,"Cheese, tilsit",340,1.88,24.41,25.98,0
1042,1,"Cheese, pasteurized process, American, fortified with vitamin D",366,4.78,18.13,30.71,0
1043,1,"Cheese, pasteurized process, pimento",375,1.73,22.13,31.2,0.1
1044,1,"Cheese, pasteurized process, swiss",334,2.1,24.73,25.01,0
1045,1,"Cheese food, cold pack, American",331,8.32,19.66,24.46,0
1046,1,"Cheese food, pasteurized process, American, vitamin D fortified",330,8.56,16.86,25.63,0
1047,1,"Cheese food, pasteurized process, swiss",323,4.5,21.92,24.14,0
1048,1,"Cheese spread, pasteurized process, American",290,8.73,16.41,21.23,0
1049,1,"Cream, fluid, half and half",123,4.73,3.13,10.39,0
1050,1,"Cream, fluid, light (coffee cream or table cream)",191,2.82,2.96,19.1,0
1052,1,"Cream, fluid, light whipping",292,2.96,2.17,30.91,0
1053,1,"Cream, fluid, heavy whipping",340,2.74,2.84,36.08,0
1054,1,"Cream, whipped, cream topping, pressurized",257,12.49,3.2,22.22,0
1055,1,"Cream, sour, reduced fat, cultured",135,4.26,2.94,12,0
1056,1,"Cream, sour, cultured",198,4.63,2.44,19.35,0
1057,1,Eggnog,88,8.05,4.55,4.19,0
1058,1,"Sour dressing, non-butterfat, cultured, filled cream-type",178,4.68,3.25,16.57,0
1059,1,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",63,4.74,3.33,3.46,0
1060,1,"Milk, filled, fluid, with lauric acid oil",63,4.74,3.33,3.4,0
1061,1,"Cheese, American, nonfat or fat free",126,10.53,21.05,0,0
1067,1,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",136,11.38,1,9.97,0
1068,1,"Cream substitute, liquid, with lauric acid oil and sodium caseinate",136,11.38,1,9.97,0
1069,1,"Cream substitute, powdered",529,59.29,2.48,32.92,0
1070,1,"Dessert topping, powdered",577,52.54,4.9,39.92,0
1071,1,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194,17.13,3.61,12.72,0
1072,1,"Dessert topping, pressurized",264,16.07,0.98,22.3,0
1073,1,"Dessert topping, semi solid, frozen",318,23.05,1.25,25.31,0
1074,1,"Sour cream, imitation, cultured",208,6.63,2.4,19.52,0
1076,1,"Milk substitutes, fluid, with lauric acid oil",61,6.16,1.75,3.41,0
1077,1,"Milk, whole, 3.25% milkfat, with added vitamin D",61,4.8,3.15,3.25,0
1078,1,"Milk, producer, fluid, 3.7% milkfat",64,4.65,3.28,3.66,0
1079,1,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50,4.8,3.3,1.98,0
1080,1,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",51,4.97,3.48,1.92,0
1081,1,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",56,5.49,3.95,1.98,0
1082,1,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",42,4.99,3.37,0.97,0
1083,1,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",43,4.97,3.48,0.97,0
1084,1,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",48,5.52,3.93,1.17,0
1085,1,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34,4.96,3.37,0.08,0
1086,1,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",37,5.02,3.57,0.25,0
1087,1,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",41,5.56,3.96,0.25,0
1088,1,"Milk, buttermilk, fluid, cultured, lowfat",40,4.79,3.31,0.88,0
1089,1,"Milk, low sodium, fluid",61,4.46,3.1,3.46,0
1090,1,"Milk, dry, whole, with added vitamin D",496,38.42,26.32,26.71,0
1091,1,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",362,51.98,36.16,0.77,0
1092,1,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",358,52.19,35.1,0.72,0
1093,1,"Milk, dry, nonfat, calcium reduced",354,51.8,35.5,0.2,0
1094,1,"Milk, buttermilk, dried",387,49,34.3,5.78,0
1102,1,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",83,10.34,3.17,3.39,0.8
